item,type,fish_or_other,WoRMS_AphiaID,scientific
Bylgides sarsi,2,o,130735,Bylgides sarsi
Clupea,1,f,268802,Clupeoides
Gammarus,1,o,101537,Gammarus
Halicryptus spinulosus,2,o,101156,Halicryptus spinulosus
Mysidae,2,o,119822,Mysidae
Mysis mixta,2,o,120113,Mysis mixta
Neomysis integer,2,o,120136,Neomysis integer
Saduria entomon,2,o,119034,Saduria entomon
Pontoporeia femorata,2,o,103079,Pontoporeia femorata
Pontoporeia affinis,1,o,103077,Monoporeia affinis
herring,1,f,126417,Clupea harengus
Herring,1,f,126417,Clupea harengus
sprat,1,f,126425,Sprattus sprattus
Sprat,1,f,126425,Sprattus sprattus
Cod,1,f,126436,Gadus morhua
Whiting,1,f,126438,Merlangius merlangus
Four-bearded rockling,1,f,126450,Enchelyopus cimbrius
Stickleback,1,f,126505,Gasterosteus aculeatus
Fifteen-spined stickleback,1,f,126508,Spinachia spinachia
Round goby,1,f,126916,Neogobius melanostomus
flounder,1,f,127141,Platichthys flesus
Broad-nosed pipefish,1,f,127393,Syngnathus typhle
Abramis brama,2,f,154281,Abramis brama
Abramis,2,f,154271,Abramis
Acantholabrus palloni,2,f,126957,Acantholabrus palloni
Acentronura,2,f,159441,Acentronura
Acipenser sturio,2,f,126279,Acipenser sturio
Acipenseridae,2,f,125424,Acipenseridae
Aequipecten opercularis,2,f,140687,Aequipecten opercularis
Agonus cataphractus,2,f,127190,Agonus cataphractus
Agonus,2,f,126144,Agonus
Alburnus alburnus,2,f,154285,Alburnus alburnus
Alepocephalus bairdii,2,f,126682,Alepocephalus bairdii
Alloteuthis subulata,2,f,153131,Alloteuthis subulata
Alosa,2,f,125715,Alosa
Alosa agone,2,f,416357,Alosa agone
Alosa alosa,2,f,126413,Alosa alosa
Alosa fallax,2,f,126415,Alosa fallax
Amblyraja radiata,2,f,105865,Amblyraja radiata
Ammodytes,2,f,125909,Ammodytes
Ammodytes tobianus,2,f,126752,Ammodytes tobianus
Ammodytes marinus,2,f,126751,Ammodytes marinus
Ammodytidae,2,f,125516,Ammodytidae
Anarhichadidae,2,f,125517,Anarhichadidae
Anarhichas minor,2,f,126759,Anarhichas minor
Anarhichas lupus,2,f,126758,Anarhichas lupus
Anarhichas denticulatus,2,f,126757,Anarhichas denticulatus
Anarrhichthys ocellatus,2,f,279605,Anarrhichthys ocellatus
Anarhichas,2,f,125912,Anarhichas
Anguilla,2,f,125620,Anguilla
Anguilla anguilla,2,f,126281,Anguilla anguilla
Anguillidae,2,f,125425,Anguillidae
Aphanopus carbo,2,f,127085,Aphanopus carbo
Aphia minuta,2,f,126868,Aphia minuta
Apletodon dentatus,2,f,126510,Apletodon dentatus
Arctica islandica,2,f,138802,Arctica islandica
Argentina,2,f,125885,Argentina
Argentina silus,2,f,126715,Argentina silus
Argentina sphyraena,2,f,126716,Argentina sphyraena
Argentinidae,2,f,125508,Argentinidae
Argyropelecus olfersii,2,f,274967,Argyropelecus olfersii
Argyropelecus,2,f,126196,Argyropelecus
Argyropelecus hemigymnus,2,f,127309,Argyropelecus hemigymnus
Argyrosomus regius,2,f,127007,Argyrosomus regius
Arnoglossus thori,2,f,127128,Arnoglossus thori
Arnoglossus,2,f,126109,Arnoglossus
Arnoglossus laterna,2,f,127126,Arnoglossus laterna
Arnoglossus imperialis,2,f,127124,Arnoglossus imperialis
Artediellus atlanticus,2,f,127193,Artediellus atlanticus
Chelidonichthys obscurus,2,f,127263,Chelidonichthys obscurus
Chelidonichthys cuculus,2,f,127259,Chelidonichthys cuculus
Atherina presbyter,2,f,272030,Atherina presbyter
Austrorossia,2,f,341410,Austrorossia
Avocettina infans,2,f,126304,Avocettina infans
Balistes,2,f,126228,Balistes
Balistes capriscus,2,f,154721,Balistes capriscus
Bathysolea profundicola,2,f,127152,Bathysolea profundicola
Belone belone,2,f,126375,Belone belone
Beryx splendens,2,f,126395,Beryx splendens
Beryx decadactylus,2,f,126394,Beryx decadactylus
Blenniidae,2,f,125519,Blenniidae
Parablennius gattorugine,2,f,126770,Parablennius gattorugine
Blennius,2,f,125915,Blennius
Blennius ocellaris,2,f,126761,Blennius ocellaris
