stat_rectangle,area
"44F0",round_1
"44F1",round_1
"45F0",round_1
"45F1",round_1
"45F2",round_1
"45F3",round_1
"45F4",round_1
"46F0",round_1
"46F1",round_1
"46F2",round_1
"46F3",round_1
"47E8",round_1
"47E9",round_1
"47F0",round_1
"47F1",round_1
"47F2",round_1
"47F3",round_1
"48E7",round_1
"48E8",round_1
"48E9",round_1
"48F0",round_1
"48F1",round_1
"48F2",round_1
"48F3",round_1
"49E8",round_1
"49E9",round_1
"49F0",round_1
"49F1",round_1
"49F2",round_1
"49F3",round_1
"50E8",round_1
"50E9",round_1
"50F0",round_1
"50F1",round_1
"50F2",round_1
"50F3",round_1
"51E8",round_1
"51E9",round_1
"51F0",round_1
"51F1",round_1
"51F2",round_1
"39F1",round_2
"39F2",round_2
"40F0",round_2
"40F1",round_2
"40F2",round_2
"40F3",round_2
"40F4",round_2
"41F0",round_2
"41F1",round_2
"41F2",round_2
"41F3",round_2
"41F4",round_2
"42F0",round_2
"42F1",round_2
"42F2",round_2
"42F3",round_2
"42F4",round_2
"43F0",round_2
"43F1",round_2
"43F2",round_2
"43F3",round_2
"43F4",round_2
"44F2",round_2
"44F3",round_2
"44F4",round_2
"41E7",round_3
"41E8",round_3
"41E9",round_3
"42E7",round_3
"42E8",round_3
"42E9",round_3
"43E8",round_3
"43E9",round_3
"44E6",round_3
"44E7",round_3
"44E8",round_3
"44E9",round_3
"45E6",round_3
"45E7",round_3
"45E8",round_3
"45E9",round_3
"46E6",round_3
"46E7",round_3
"46E8",round_3
"46E9",round_3
"47E6",round_3
"47E7",round_3
"36F0",round_4
"37F0",round_4
"37F1",round_4
"37E9",round_4
"38E9",round_4
"38F0",round_4
"38F1",round_4
"39E8",round_4
"39E9",round_4
"39F0",round_4
"40E8",round_4
"40E9",round_4
"31F1",round_5
"32F1",round_5
"33F1",round_5
"33F2",round_5
"34F1",round_5
"34F2",round_5
"35F0",round_5
"35F1",round_5
"35F2",round_5
"36F1",round_5
"36F2",round_5
"31F2",round_6
"32F2",round_6
"32F3",round_6
"33F3",round_6
"33F4",round_6
"34F3",round_6
"34F4",round_6
"35F3",round_6
"35F4",round_6
"36F3",round_6
"36F4",round_6
"36F5",round_6
"36F6",round_6
"36F7",round_6
"37F2",round_6
"37F3",round_6
"37F4",round_6
"37F5",round_6
"37F6",round_6
"37F7",round_6
"37F8",round_6
"38F2",round_6
"38F3",round_6
"38F4",round_6
"38F5",round_6
"38F6",round_6
"38F7",round_6
"38F8",round_6
"39F3",round_6
"39F4",round_6
"39F5",round_6
"39F6",round_6
"39F7",round_6
"39F8",round_6
"40F5",round_7
"40F6",round_7
"40F7",round_7
"41F5",round_7
"41F6",round_7
"41F7",round_7
"42F5",round_7
"42F6",round_7
"42F7",round_7
"43F5",round_7
"43F6",round_7
"43F7",round_7
"44F5",round_7
"43F8",round_8
"44F8",round_8
"44F9",round_8
"44G0",round_8
"44G1",round_8
"45F9",round_8
"45G0",round_8
"45G1",round_8
"46G0",round_8
"46G1",round_8
"41G0",round_9
"41G1",round_9
"41G2",round_9
"42G1",round_9
"42G2",round_9
"43G0",round_9
"43G1",round_9
"43G2",round_9
"49E7",round_1
"52F1",round_1
"43F9",round_8
"50E7",round_1
"49E6",round_1
"28F0",round_5
"30F1",round_5
"30F0",round_5
"29F1",round_5
"31F3",round_6
"29F0",round_5
"36F8",round_6
"38E8",round_4
"52E9",round_1
"52F0",round_1
"48E6",round_1
