pred_name,stratum_time,pred_size,stratum_area,stratum_sub_area,w_fac_sub_area
RAJ,1991-Q1,0250-0300,R-7,40F6,1
RAJ,1991-Q1,0500-0600,R-7,40F5,1
RAJ,1991-Q1,0400-0500,R-2,40F2,1
RAJ,1991-Q1,0350-0400,R-2,39F2,1
RAJ,1991-Q1,0500-0600,R-2,40F2,1
RAJ,1991-Q1,0250-0300,R-2,40F3,1
RAJ,1991-Q1,0400-0500,R-2,40F3,1
RAJ,1991-Q1,0350-0400,R-4,39F0,1
RAJ,1991-Q1,0250-0300,R-2,40F2,1
RAJ,1991-Q1,0500-0600,R-6,39F3,1
RAJ,1991-Q3,0400-0500,R-2,41F4,1
RAJ,1991-Q3,0400-0500,R-7,44F5,1
RAJ,1991-Q4,0150-0200,R-2,41F4,1
RAJ,1991-Q4,0350-0400,R-2,41F1,1
RAJ,1991-Q4,0200-0250,R-2,41F3,1
RAJ,1991-Q4,0300-0350,R-7,41F5,1
RAJ,1991-Q4,0300-0350,R-2,41F0,1
RAJ,1991-Q4,0400-0500,R-6,39F3,1
RAJ,1991-Q4,0250-0300,R-2,41F4,1
RAJ,1991-Q4,0350-0400,R-2,41F0,1
RAJ,1991-Q4,0350-0400,R-2,41F2,1
RAJ,1991-Q4,0350-0400,R-6,39F3,1
RAJ,1991-Q4,0350-0400,R-3,41E9,1
RAJ,1991-Q4,0250-0300,R-2,41F3,1
RAJ,1991-Q4,0350-0400,R-7,42F6,1
RAJ,1991-Q4,0250-0300,R-2,41F1,1
RAJ,1991-Q4,0500-0600,R-6,39F3,1
RAJ,1991-Q4,0400-0500,R-7,41F5,1
RAJ,1991-Q4,0250-0300,R-2,41F0,1
RAJ,1991-Q4,0300-0350,R-2,41F3,1
RAJ,1991-Q4,0400-0500,R-2,41F4,1
RAJ,1991-Q4,0400-0500,R-3,41E9,1
RAJ,1991-Q4,0400-0500,R-7,42F6,1
RAJ,1991-Q4,0400-0500,R-2,41F3,1
RAJ,1991-Q4,0400-0500,R-2,41F2,1
RAJ,1991-Q4,0250-0300,R-3,41E9,1
RAJ,1991-Q2,0400-0500,R-2,44F3,1
RAJ,1991-Q2,0350-0400,R-2,44F3,1
RAJ,1991-Q2,0250-0300,R-2,44F3,1
RAJ,1991-Q2,0350-0400,R-2,42F3,1
RAJ,1991-Q2,0250-0300,R-2,42F3,1
RAJ,1991-Q2,0200-0250,R-2,42F3,1
RAJ,1991-Q2,0300-0350,R-2,42F3,1
RAJ,1991-Q2,0500-0600,R-2,42F3,1
RAJ,1991-Q2,0400-0500,R-2,42F3,1
RAJ,1991-Q2,0350-0400,R-1,44F1,1
RAJ,1991-Q2,0300-0350,R-1,44F1,1
RAJ,1991-Q2,0400-0500,R-1,44F1,1
RAJ,1991-Q2,0200-0250,R-1,44F1,1
RAJ,1991-Q2,0400-0500,R-7,42F5,1
RAJ,1991-Q2,0150-0200,R-7,42F5,1
RAJ,1991-Q2,0500-0600,R-7,42F5,1
RAJ,1991-Q2,0250-0300,R-1,45F2,1
RAJ,1991-Q2,0400-0500,R-1,45F2,1
RAJ,1991-Q2,0350-0400,R-1,45F2,1
RAJ,1991-Q2,0200-0250,R-1,45F2,1
RAJ,1991-Q2,0350-0400,R-2,42F0,1
RAJ,1991-Q2,0500-0600,R-1,45F2,1
RAJ,1991-Q2,0250-0300,R-2,43F3,1
RAJ,1991-Q2,0300-0350,R-2,43F3,1
RAJ,1991-Q2,0250-0300,R-1,45F1,1
RAJ,1991-Q2,0400-0500,R-1,45F0,1
RAJ,1991-Q2,0400-0500,R-1,45F1,1
RAJ,1991-Q2,0350-0400,R-2,43F3,1
RAJ,1991-Q2,0400-0500,R-2,42F2,1
RAJ,1991-Q2,0500-0600,R-2,42F2,1
RAJ,1991-Q2,0250-0300,R-2,42F2,1
RAJ,1991-Q2,0350-0400,R-2,42F2,1
RAJ,1991-Q2,0200-0250,R-2,42F2,1
RAJ,1991-Q2,0400-0500,R-7,40F5,1
RAJ,1991-Q2,0350-0400,R-3,42E9,1
RAJ,1991-Q2,0400-0500,R-2,42F4,1
RAJ,1991-Q2,0350-0400,R-2,43F1,1
RAJ,1991-Q2,0500-0600,R-1,45F3,1
RAJ,1991-Q2,0300-0350,R-2,43F1,1
RAJ,1991-Q2,0350-0400,R-1,45F3,1
RAJ,1991-Q2,0250-0300,R-1,45F3,1
RAJ,1991-Q2,0400-0500,R-2,43F1,1
RAJ,1991-Q2,0400-0500,R-1,45F3,1
RAJ,1991-Q2,0350-0400,R-2,40F1,1
RAJ,1991-Q2,0400-0500,R-2,40F3,1
RAJ,1991-Q2,0400-0500,R-2,40F1,1
RAJ,1991-Q2,0500-0600,R-2,40F3,1
RAJ,1991-Q2,0200-0250,R-2,40F1,1
RAJ,1991-Q2,0250-0300,R-2,40F1,1
RAJ,1991-Q2,0300-0350,R-2,40F1,1
RAJ,1991-Q2,0400-0500,R-6,38F3,1
RAJ,1991-Q2,0400-0500,R-4,38E9,1
RAJ,1991-Q2,0250-0300,R-4,38E9,1
RAJ,1991-Q2,0400-0500,R-4,38F0,1
