species,NODC,dup_species
Chrysophyta,400000000,FALSE
Chlorophyta,800000000,FALSE
Chlorophyceae,801000000,FALSE
Phaeophyta,1500000000,FALSE
Phaeophyta,1501000000,TRUE
Dictyotales,1507000000,FALSE
Dictyotaceae,1507010000,FALSE
Taonia,1507010500,FALSE
Phaeophyceae fucales,1510000000,FALSE
Fucaceae,1510010000,FALSE
Ascophyllum,1510010100,FALSE
Ascophyllum nodosum,1510010102,FALSE
RHODOPHYCEAE,1601000000,FALSE
ANGIOSPERMAE,3200000000,FALSE
Foraminifera,3448000000,FALSE
Porifera,3600000000,FALSE
Calcarea,3601000000,FALSE
Hyalospongia,3630000000,FALSE
Demospongia,3660000000,FALSE
Cnidaria,3700000000,FALSE
Hydrozoa,3701000000,FALSE
Anthomedusa,3703000000,FALSE
TUBULARIIDAE,3703030000,FALSE
OBELIA,3704010200,FALSE
Siphonophora,3715000000,FALSE
Physophorina,3717000000,FALSE
Physophoridae,3717020000,FALSE
Physophora,3717020100,FALSE
Physophora hydrost.**,3717020101,FALSE
Scyphozoa,3730000000,FALSE
Cyanaea,3734020100,FALSE
Anthozoa,3740000000,FALSE
CERIANTHARIA,3743000000,FALSE
Octocorallia,3744000000,FALSE
Alcyonacea,3747000000,FALSE
Xeniidae,3747010000,FALSE
Alcyoniidae,3747020000,FALSE
Astrospiculariidae,3747030000,FALSE
Nephtheidae,3747040000,FALSE
Siphonogorgiidae,3747050000,FALSE
Thenaria,3760000000,FALSE
Actiniidae,3760010000,FALSE
Sagartiidae,3760050000,FALSE
Metridiidae  (anthozoa),3760060000,FALSE
Metridium,3760060100,FALSE
Diadumenidae,3760080000,FALSE
Haliplanellidae,3760100000,FALSE
Aiptasiidae,3760120000,FALSE
Ctenophora,3800000000,FALSE
Tentaculata cydippida,3802000000,FALSE
Pleurobrachiidae,3802010000,FALSE
Pleurobrachia,3802010100,FALSE
Pleurobrachia pileus,3802010101,FALSE
Mertensiidae,3802020000,FALSE
Turbellaria,3901000000,FALSE
Cestoda,3930000000,FALSE
Rhynchocoela,4300000000,FALSE
Paleonemertea,4302000000,FALSE
Tubulanidae,4302010000,FALSE
Carinomidae,4302020000,FALSE
Cephalothricidae,4302030000,FALSE
Bdellonemertea,4308000000,FALSE
Malacobdellidae,4308010000,FALSE
Malacobdella,4308010100,FALSE
Malacobdella grossa,4308010101,FALSE
Nematoda,4700000000,FALSE
Annelida,5000000000,FALSE
Polychaeta,5001000000,FALSE
Aphroditidae,5001010000,FALSE
Aphrodite,5001010100,FALSE
Aphrodite aculeata,5001010105,FALSE
Polynoidae,5001020000,FALSE
Harmothoe,5001020800,FALSE
Harmothoe impar,5001020807,FALSE
Harmothoe lunulata,5001020810,FALSE
Harmothoe longisetis,5001020816,FALSE
Lepidonotus,5001021000,FALSE
Lepidonotus clava,5001021106,FALSE
Polynoe,5001021500,FALSE
Polynoe scolopendrina,5001021506,FALSE
Hermione,5001022000,FALSE
Hermione hystrix,5001022501,FALSE
Sigalionidae,5001060000,FALSE
Pholoe,5001060100,FALSE
Pholoe minuta,5001060101,FALSE
Leanira,5001060500,FALSE
Leanira tetragona,5001060502,FALSE
Amphinomidae,5001100000,FALSE
Phyllodocidae,5001130000,FALSE
Anaitides,5001130100,FALSE
Anaitides maculata,5001130106,FALSE
Anaitides longipes,5001130112,FALSE
Eteone,5001130200,FALSE
Nereiphylla,5001131000,FALSE
Nereiphylla paretti,5001131002,FALSE
Nereiphylla,5001131112,TRUE
Phyllodoce,5001131400,FALSE
Phyllodoce lamelligera,5001131408,FALSE
Tomopteridae,5001200000,FALSE
Tomopteris,5001200100,FALSE
Tomopteris helgolandica,5001200105,FALSE
Hesionidae,5001210000,FALSE
Syllidae,5001230000,FALSE
Autolytus,5001230100,FALSE
Autolytus pictus,5001230111,FALSE
Syllis,5001230300,FALSE
Syllis prolifera,5001230307,FALSE
Nereidae,5001240000,FALSE
Nereis,5001240400,FALSE
Nereis pelagica,5001240403,FALSE
Nereis succinea,5001240410,FALSE
Nereis diversicolor,5001240411,FALSE
Nereis virens,5001240412,FALSE
Nereis fucata,5001240414,FALSE
Perinereis,5001241000,FALSE
Perinereis cultrifera,5001241101,FALSE
Nephtyidae,5001250000,FALSE
Nephtys,5001250100,FALSE
Nephtys ciliata,5001250102,FALSE
Nephtys hombergii,5001250103,FALSE
Nephtys paradoxa,5001250110,FALSE
Nephtys caeca,5001250112,FALSE
Sphaerodiridae,5001260000,FALSE
Sphaerodorum,5001260100,FALSE
Sphaerodorum flavum,5001260105,FALSE
Glyceridae,5001270000,FALSE
Glycera,5001270100,FALSE
Glycera capitata,5001270101,FALSE
Glycera convoluta,5001270107,FALSE
Goniadidae,5001280000,FALSE
Glycinde,5001280100,FALSE
Glycinde nordmanni,5001280106,FALSE
Goniada,5001280200,FALSE
Goniada maculata,5001280202,FALSE
Goniada pallida,5001280209,FALSE
Onuphidae,5001290000,FALSE
Onuphis,5001290100,FALSE
Onuphis conchylega,5001290101,FALSE
Eunicidae,5001300000,FALSE
Eunice,5001300100,FALSE
Eunice pennata,5001300105,FALSE
Eunice harassii,5001300107,FALSE
Lumbrineridae,5001310000,FALSE
Lumbrineris,5001310100,FALSE
Lumbrineris fragilis,5001310102,FALSE
Orbiniidae,5001400000,FALSE
Scoloplos,5001400300,FALSE
Scoloplos armiger,5001400301,FALSE
Orbinia,5001400500,FALSE
Orbinia latreilli,5001400504,FALSE
Orbinia norvegica,5001400509,FALSE
Paraonidae,5001410000,FALSE
Paraonis,5001410300,FALSE
Paraonis fulgens,5001410302,FALSE
Spionidae,5001430000,FALSE
Polydora,5001430400,FALSE
Polydora ciliata,5001430405,FALSE
Magelonidae,5001440000,FALSE
Magelona,5001440200,FALSE
Magelona papillicornis,5001440206,FALSE
Poecilochaetidae,5001460000,FALSE
Chaetopteridae,5001490000,FALSE
Chaetopterus,5001490100,FALSE
Chaetopterus variopedatus,5001490101,FALSE
Cirratulidae,5001500000,FALSE
Cirratulus,5001500100,FALSE
Cirratulus cirratus,5001500105,FALSE
Cossuridae,5001520000,FALSE
Cossura,5001520100,FALSE
Cossura longocirrata,5001520101,FALSE
Flabelligeridae,5001540000,FALSE
Flabelligera,5001540200,FALSE
Flabelligera affinis,5001540202,FALSE
Pherusa,5001540300,FALSE
Pherusa plumosa,5001540302,FALSE
Diplocirrus,5001540400,FALSE
Diplocirrus glaucus,5001540403,FALSE
Scalibregma inflatum,5001570101,FALSE
Opheliidae,5001580000,FALSE
Ophelia,5001580300,FALSE
Ophelia limacina,5001580301,FALSE
Ophelia bicornis,5001580303,FALSE
Ophelia acuminata,5001580306,FALSE
Ophelina,5001580600,FALSE
Sternaspidae,5001590000,FALSE
Sternaspis,5001590100,FALSE
Sternaspis scutata,5001590101,FALSE
Capitellidae,5001600000,FALSE
Capitella,5001600100,FALSE
