year_old,year_new,predator
1974,1975,Gadus morhua
1975,1975,Gadus morhua
1976,1975,Gadus morhua
1977,1975,Gadus morhua
1978,1975,Gadus morhua
1979,1975,Gadus morhua
1980,1985,Gadus morhua
1981,1985,Gadus morhua
1982,1985,Gadus morhua
1983,1985,Gadus morhua
1984,1985,Gadus morhua
1985,1985,Gadus morhua
1986,1985,Gadus morhua
1987,1985,Gadus morhua
1988,1985,Gadus morhua
1989,1985,Gadus morhua
1990,1995,Gadus morhua
1991,1995,Gadus morhua
1992,1995,Gadus morhua
1993,1995,Gadus morhua
1994,1995,Gadus morhua
1995,1995,Gadus morhua
1996,1995,Gadus morhua
1997,1995,Gadus morhua
1998,1995,Gadus morhua
1999,1995,Gadus morhua
2000,2005,Gadus morhua
2001,2005,Gadus morhua
2002,2005,Gadus morhua
2003,2005,Gadus morhua
2004,2005,Gadus morhua
2005,2005,Gadus morhua
2006,2005,Gadus morhua
2007,2005,Gadus morhua
2008,2005,Gadus morhua
2009,2005,Gadus morhua
2010,2015,Gadus morhua
2011,2015,Gadus morhua
2012,2015,Gadus morhua
2013,2015,Gadus morhua
2014,2015,Gadus morhua
2015,2015,Gadus morhua
2016,2015,Gadus morhua
2017,2015,Gadus morhua
2018,2015,Gadus morhua
2019,2015,Gadus morhua
2020,2025,Gadus morhua
2021,2025,Gadus morhua
2022,2025,Gadus morhua
2023,2025,Gadus morhua
2024,2025,Gadus morhua
